epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.239,1.11688,3.03523,1.57456,0.51264,0.46788,0.4574,0.24936,1.51153,2.2686,2.21102,0.00020767,0.00020767,0.00020767
2,231.282,1.14244,2.20852,1.56913,0.63237,0.54427,0.60976,0.34416,1.38499,2.01122,1.97897,0.000407766,0.000407766,0.000407766
3,342.771,1.14119,1.95453,1.55569,0.64323,0.51861,0.58247,0.35283,1.38109,1.88138,1.98072,0.000599613,0.000599613,0.000599613
4,453.563,1.12774,1.80758,1.54149,0.68996,0.59116,0.67902,0.3951,1.36686,1.71058,1.97217,0.000587875,0.000587875,0.000587875
5,562.685,1.09391,1.66084,1.51335,0.71992,0.61311,0.69964,0.44963,1.27456,1.43301,1.8202,0.0005755,0.0005755,0.0005755
6,671.112,1.07564,1.55682,1.4965,0.7579,0.67322,0.75682,0.48503,1.31407,1.3516,1.85138,0.000563125,0.000563125,0.000563125
7,777.68,1.03979,1.44114,1.46993,0.73303,0.61166,0.7008,0.44649,1.2762,1.51257,1.81912,0.00055075,0.00055075,0.00055075
8,883.918,1.02647,1.41291,1.45639,0.82799,0.69068,0.78458,0.51431,1.22307,1.2679,1.78855,0.000538375,0.000538375,0.000538375
9,990.006,1.01331,1.32912,1.45098,0.83767,0.69007,0.7966,0.53082,1.25016,1.25553,1.78296,0.000526,0.000526,0.000526
10,1099.77,0.99425,1.26712,1.42579,0.86757,0.71384,0.81119,0.55094,1.18111,1.13354,1.72622,0.000513625,0.000513625,0.000513625
11,1205.63,0.9765,1.21099,1.41148,0.77736,0.74538,0.80082,0.54041,1.19269,1.11469,1.73479,0.00050125,0.00050125,0.00050125
12,1312.77,0.9657,1.15756,1.40238,0.83172,0.71657,0.82664,0.54902,1.18389,1.08389,1.71195,0.000488875,0.000488875,0.000488875
13,1419.91,0.94929,1.14095,1.39479,0.75516,0.71524,0.78678,0.51557,1.23268,1.16696,1.75775,0.0004765,0.0004765,0.0004765
14,1528.12,0.93432,1.09411,1.3859,0.81227,0.7417,0.80547,0.56299,1.13796,1.06342,1.67739,0.000464125,0.000464125,0.000464125
15,1634.26,0.91797,1.06984,1.36903,0.84239,0.73823,0.81974,0.56497,1.15382,1.07575,1.70982,0.00045175,0.00045175,0.00045175
